Date,Vhembe,dis35AWRI,dis48AWRI,dis49AWRI,dis50AWRI,dis63AWRI,dis64AWRI,dis65AWRI,dis76AWRI,dis77AWRI,dis86AWRI,dis35EDI,dis48EDI,dis49EDI,dis65EDI,dis76EDI,dis35rainfall,dis48rainfall,dis49rainfall,dis50rainfall,dis63rainfall,dis64rainfall,dis65rainfall,dis76rainfall,dis77rainfall,dis86rainfall,TempThabazimi,TemLEPHALALE,TempPOLOKWANE,TempTHOHOYANDOUAWS,humidityTha,humidityLe,humidityPol,humidityThou,TempHOEDSPRUIT,humidityHoe
1998-01-31 00:00:00,244,170.2,287.1,435.1,194.6,285,130.4,148.2,218.7,144.2,292.4,-0.8,-0.24,0.21,-0.5,-0.62,89,125.7,248.8,110.5,71.1,33.5,69.9,74.2,46.7,122.7,22.49554367,26.29407008,22.81451613,24.66760753,54.55510753,63.44804318,69.98387097,79.62903226,25.68239247,76.25
1998-02-28 00:00:00,562,133.6,236.6,361,148.4,269.1,131.2,114.9,201.7,133.4,257.8,-1.19,-0.66,-0.57,-0.94,-0.89,11.9,30.4,52.1,11.5,56.9,35.4,9.1,41.6,28.7,47.6,24.81799163,27.0827381,22.64672619,24.53159558,71.76150628,55.55803571,68.5639881,76.56528662,25.52083333,75.7514881
1998-03-31 00:00:00,312,114.2,201.9,324.6,129.1,219.1,139.2,117,185.2,159.4,237.7,-1.33,-0.97,-0.74,-0.91,-1.27,13.3,24,53.2,17.9,16.3,41.4,30.8,34.2,60.1,46.5,26.62332696,27.23709677,22.60362903,25.0797043,57.65200765,54.21236559,65.28360215,69.35752688,25.66182796,71.5483871
1998-04-30 00:00:00,269,93.8,184.6,281.7,103.5,200.3,125.7,97.2,154.4,153.5,186,-1.45,-0.99,-0.79,-1.09,-1.48,5.3,28.3,32,3.9,30.1,21,8.2,13,35,5,22.02,23.5775,19.41888889,21.46513889,56.44285714,54.83055556,63.97083333,74.32083333,23.62097222,70.26944444
1998-05-31 00:00:00,101,73.5,142.5,218.8,80.9,154.6,96.2,75.6,119.6,115.9,145.2,-1.49,-1.03,-0.87,-1.15,-1.51,0,0,0.2,0,0.1,0,0,0,0,0,16.28830645,18.53655914,15.74596774,18.83521505,48.50806452,44.16129032,46.74731183,57.95430108,21.13010753,56.52688172
1998-06-30 00:00:00,17,57.9,112,172.3,63.7,121.1,75.6,59.5,94.2,91,114.7,-1.55,-1.06,-0.94,-1.18,-1.57,0,0.2,0.3,0,0,0,0,0,0,0,12.59069374,15.35805556,13.16847222,16.56833333,52.33502538,49.69444444,50.2875,60.60694444,18.78166667,59.19027778
1998-07-31 00:00:00,9,49.4,110.8,173.7,54.8,93.6,59.1,46.3,73.4,71.5,89.5,-1.56,-0.8,-0.63,-1.15,-1.54,4.5,23.9,39.8,5.5,0,0,0,0,0,0,13.62634409,15.39583333,12.93965054,16.15147849,53.31317204,54.11290323,58.66263441,68.6922043,17.74475806,68.09543011
1998-08-31 00:00:00,39,39.2,86.5,139.5,44.2,70.9,45.3,35.1,56.3,55.4,68.5,-1.6,-0.88,-0.71,-1.23,-1.67,2.4,4.8,10.8,3.5,0.8,0.1,0,0.7,0,0.6,16.20833333,17.34260753,14.22110215,17.41948925,47.18548387,49.12634409,52.60349462,63.67607527,19.09206989,64.8938172
1998-09-30 00:00:00,141,42.3,79.6,141.8,41.3,83.3,37.8,28.9,50,47.3,82.1,-1.52,-0.83,-0.54,-1.27,-1.46,14.3,17.1,40.3,9.9,33.1,4.5,3.6,9.5,5.8,32.7,22.46708333,21.98166667,17.80194444,19.80416667,43.51527778,45.71111111,54.85694444,63.67777778,21.3775,64.59861111
1998-10-31 00:00:00,221,106.6,132.7,212.1,72,140.8,64.2,38.3,76.4,67,114.6,0.06,-0.42,0.32,-1.33,-1.33,77.7,77.3,112.2,43.6,85.6,38.3,18.7,43,33.5,59.3,24.0625,23.56518817,19.22002688,20.05456989,54.55510753,58.17876344,67.09274194,80.56048387,21.8766129,74.03629032
